Athlete Name,Year,Event,Score,Created At,Updated At
"Dylan Flanagan","2024-2025","2024 Kazumi open",10,"2025-08-31T02:32:55.866799+00:00","2025-08-31T02:32:55.866799+00:00"
"Davonte Smith Richardson","2024-2025","2025 Lepercq Memorial",15,"2025-08-31T02:32:55.562891+00:00","2025-08-31T02:32:55.562891+00:00"
"Davonte Smith Richardson","2024-2025","2025 Shiai",10,"2025-08-31T02:32:55.439639+00:00","2025-08-31T02:32:55.439639+00:00"
"Dash Bailey","2024-2025","2025 Lepercq Memorial",10,"2025-08-31T02:32:55.257349+00:00","2025-08-31T02:32:55.257349+00:00"
"Dash Bailey","2024-2025","2025 Shiai",15,"2025-08-31T02:32:55.171708+00:00","2025-08-31T02:32:55.171708+00:00"
"Dantè Hansey","2024-2025","2024 Kata Classic",15,"2025-08-31T02:32:54.880869+00:00","2025-08-31T02:32:54.880869+00:00"
"Conor Ferguson","2024-2025","2025 Shiai",10,"2025-08-31T02:32:54.688951+00:00","2025-08-31T02:32:54.688951+00:00"
"Clark Sta. Maria","2024-2025","2025 Shiai",10,"2025-08-31T02:32:54.496669+00:00","2025-08-31T02:32:54.496669+00:00"
"Chelsea Sta. Maria","2024-2025","2025 Shiai",10,"2025-08-31T02:32:54.314733+00:00","2025-08-31T02:32:54.314733+00:00"
"Charles Ndaye","2024-2025","2024 Kazumi open",10,"2025-08-31T02:32:54.123948+00:00","2025-08-31T02:32:54.123948+00:00"
"Charles Ndaye","2024-2025","2024 Kata Classic",10,"2025-08-31T02:32:54.027631+00:00","2025-08-31T02:32:54.027631+00:00"
"Chancellor DeShield","2024-2025","2025 Lepercq Memorial",25,"2025-08-31T02:32:53.829654+00:00","2025-08-31T02:32:53.829654+00:00"
"Chancellor DeShield","2024-2025","2025 Shiai",10,"2025-08-31T02:32:53.717735+00:00","2025-08-31T02:32:53.717735+00:00"
"Chancellor DeShield","2024-2025","2024 Kata Classic",5,"2025-08-31T02:32:53.618449+00:00","2025-08-31T02:32:53.618449+00:00"
"Chan Simons","2024-2025","2025 Lepercq Memorial",25,"2025-08-31T02:32:53.323978+00:00","2025-08-31T02:32:53.323978+00:00"
"Chan Simons","2024-2025","2025 Shiai",15,"2025-08-31T02:32:53.220656+00:00","2025-08-31T02:32:53.220656+00:00"
"Chan Simons","2024-2025","2024 Kazumi open",25,"2025-08-31T02:32:53.115519+00:00","2025-08-31T02:32:53.115519+00:00"
"Chan Simons","2024-2025","2024 Kata Classic",5,"2025-08-31T02:32:53.022762+00:00","2025-08-31T02:32:53.022762+00:00"
"Blake Farrington","2024-2025","2024 Kazumi open",10,"2025-08-31T02:32:52.716743+00:00","2025-08-31T02:32:52.716743+00:00"
"Ava Simons","2024-2025","2025 Shiai",15,"2025-08-31T02:32:52.410209+00:00","2025-08-31T02:32:52.410209+00:00"
"Ava Simons","2024-2025","2024 Kazumi open",15,"2025-08-31T02:32:52.304798+00:00","2025-08-31T02:32:52.304798+00:00"
"Arlo Holis","2024-2025","2025 Lepercq Memorial",17,"2025-08-31T02:32:52.107644+00:00","2025-08-31T02:32:52.107644+00:00"
"Arlo Holis","2024-2025","2024 Kazumi open",25,"2025-08-31T02:32:52.022251+00:00","2025-08-31T02:32:52.022251+00:00"
"Amarriah Vaughans","2024-2025","2025 Lepercq Memorial",15,"2025-08-31T02:32:51.840406+00:00","2025-08-31T02:32:51.840406+00:00"
"Amarriah Vaughans","2024-2025","2025 Shiai",15,"2025-08-31T02:32:51.733508+00:00","2025-08-31T02:32:51.733508+00:00"
"Amarriah Vaughans","2024-2025","2024 Kazumi open",15,"2025-08-31T02:32:51.630296+00:00","2025-08-31T02:32:51.630296+00:00"
"Alessia Vianello","2024-2025","2025 Lepercq Memorial",10,"2025-08-31T02:32:51.33467+00:00","2025-08-31T02:32:51.33467+00:00"
"Alessia Vianello","2024-2025","2025 Shiai",10,"2025-08-31T02:32:51.230372+00:00","2025-08-31T02:32:51.230372+00:00"
"Alessia Vianello","2024-2025","2024 Kata Classic",5,"2025-08-31T02:32:51.130761+00:00","2025-08-31T02:32:51.130761+00:00"
"Jake Arnold","2023-2024","2024 Lepercq Memorial",5,"2025-08-31T02:32:50.243978+00:00","2025-08-31T02:32:50.243978+00:00"
"kez simmons","2023-2024","2024 Lepercq Memorial",10,"2025-08-31T02:32:50.049654+00:00","2025-08-31T02:32:50.049654+00:00"
"Chancellor DeShield","2023-2024","2024 Lepercq Memorial",10,"2025-08-31T02:32:49.855145+00:00","2025-08-31T02:32:49.855145+00:00"
"Tobiah Goodchild","2023-2024","2024 Shiai",10,"2025-08-31T02:32:49.656464+00:00","2025-08-31T02:32:49.656464+00:00"
"Jaze Anderson","2023-2024","2024 Shiai",10,"2025-08-31T02:32:49.455598+00:00","2025-08-31T02:32:49.455598+00:00"
"Avalon Hollis","2023-2024","2024 Lepercq Memorial",20,"2025-08-31T02:32:49.255996+00:00","2025-08-31T02:32:49.255996+00:00"
